新鄉鎮市區,新交易標的,新土地區段,新主要用途,新建物型態,新總樓層數,新主要建材
文山區,房地(土地+建物),興隆路二段203巷151~180號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
萬華區,房地(土地+建物)+車位,內江街31~60號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
內湖區,房地(土地+建物),星雲街168巷31~60號,住家用,住宅大樓(11層含以上有電梯),二十一層,鋼筋混凝土造
內湖區,房地(土地+建物)+車位,民權東路六段121~150號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
內湖區,房地(土地+建物)+車位,星雲街121~150號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
中山區,房地(土地+建物)+車位,植福路286巷31~60號,住家用,住宅大樓(11層含以上有電梯),四十二層,鋼骨造
松山區,房地(土地+建物),八德路四段781~810號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
松山區,房地(土地+建物),復興北路1~30號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
士林區,房地(土地+建物)+車位,天母東路1~30號,住家用,住宅大樓(11層含以上有電梯),三十八層,鋼骨造
北投區,房地(土地+建物),中山路1~30號,住家用,住宅大樓(11層含以上有電梯),二十五層,鋼筋混凝土造
大安區,房地(土地+建物)+車位,仁愛路四段301~330號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
大安區,房地(土地+建物)+車位,仁愛路三段5巷1~30號,住家用,住宅大樓(11層含以上有電梯),十六層,見其他登記事項
大同區,房地(土地+建物)+車位,民權西路144巷5弄1~30號,住家用,住宅大樓(11層含以上有電梯),十七層,鋼筋混凝土造
中山區,房地(土地+建物)+車位,中山北路三段1~30號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
中山區,房地(土地+建物),明水路541~570號,住家用,住宅大樓(11層含以上有電梯),十六層,鋼筋混凝土造
大安區,房地(土地+建物)+車位,市民大道三段181~210號,住家用,住宅大樓(11層含以上有電梯),二十三層,見其他登記事項
大安區,房地(土地+建物),金山南路二段181~210號,住家用,住宅大樓(11層含以上有電梯),二十四層,見其他登記事項
